Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,252793521527,,,,,,93377261711,,,6
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,40,Austria,AUT,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,40140,,,,40140,,2143,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,3568235000,,,,3568235000,,1294804521,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,18069750000,,,,18069750000,,5278221910,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,124,Canada,CAN,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,434647000,,,,434647000,,164645949,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,156,China,CHN,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,52566640000,,,,52566640000,,20555257800,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,170,Colombia,COL,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,758489000,,,,758489000,,282848494,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,191,Croatia,HRV,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,1604409000,,,,1604409000,,594336039,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,192,Cuba,CUB,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,100063700,,,,100063700,,35324675,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,203,Czechia,CZE,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,4054115000,,,,4054115000,,1495764024,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,208,Denmark,DNK,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,1450562800,,,,1450562800,,529312813,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,233,Estonia,EST,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,1566840,,,,1566840,,568573,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,246,Finland,FIN,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,9489619000,,,,9489619000,,3443612829,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,251,France,FRA,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,1940834700,,,,1940834700,,728947092,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,268,Georgia,GEO,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,1786640,,,,1786640,,761483,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,276,Germany,DEU,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,24208370000,,,,24208370000,,8943925065,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,300,Greece,GRC,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,1122246300,,,,1122246300,,419397729,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,348,Hungary,HUN,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,4404879000,,,,4404879000,,1567878780,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,360,Indonesia,IDN,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,94944500,,,,94944500,,40415627,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,381,Italy,ITA,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,15535682000,,,,15535682000,,5835418510,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,392,Japan,JPN,,,,,,,,2709,Petroleum oils and oils obtained from bituminous minerals; crude,8,Weight in kilograms,8079500000,,,,8079500000,,3219109288,,,0
