Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,0,World,WLD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,33065901341,,,,33065901341,,5796184206,,,6
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,8,Albania,ALB,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,151675990,,,,151675990,,24721125,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,24,Angola,AGO,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,7550000,,,,7550000,,1389200,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,31,Azerbaijan,AZE,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1213908300,,,,1213908300,,200301735,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,50,Bangladesh,BGD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,1923410950,,,,1923410950,,320814351,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,51,Armenia,ARM,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,213727280,,,,213727280,,37975382,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,100,Bulgaria,BGR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,100,,,,100,,9,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,108,Burundi,BDI,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,28140000,,,,28140000,,4997493,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,112,Belarus,BLR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,99543370,,,,99543370,,14204133,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,120,Cameroon,CMR,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,278571000,,,,278571000,,48215942,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,132,Cabo Verde,CPV,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,19725650,,,,19725650,,3573904,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,144,Sri Lanka,LKA,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,302833000,,,,302833000,,55038225,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,156,China,CHN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,18027100,,,,18027100,,4252454,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,178,Congo,COG,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,119386890,,,,119386890,,21488952,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,180,Dem. Rep. of the Congo,COD,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,73504930,,,,73504930,,12730054,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,196,Cyprus,CYP,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,44499030,,,,44499030,,7529897,,,0
H5,2017,2017,2017,4,0,2,Export,643,Russian Federation,RUS,204,Benin,BEN,,,,,,,,1001,Wheat and meslin,8,Weight in kilograms,15794000,,,,15794000,,2878422,,,0
